id,make,model,year,vin,country,owner,currentgaslevel,dailyrate
169,Suzuki,Grand Vitara,2000,YV1902FH6D2932336,CZ,❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,19.11,$205.31
170,Chevrolet,Express 3500,2009,TRURD38J691237633,PL,␣,4.83,$89.03
171,Dodge,Ram 3500 Club,1995,SALME1D41BA925415,TZ,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",23.3,$194.48
172,Subaru,Legacy,2003,4T1BD1FK2CU197984,RU,1/2,16.43,$104.65
173,BMW,3 Series,1994,1N4AB7AP8DN278498,TH,<script>alert('hi')</script>,22.87,$96.43
174,Toyota,Tundra,2003,2G4WB52K321526688,AM,​,0.59,$197.03
175,Eagle,Summit,1996,1G6DL1E36D0116703,PK,‪‪test‪,4.26,$108.56
176,Dodge,Viper,1997,1GYEE437390003568,ID,1'; DROP TABLE users--,15.13,$168.89
177,Honda,CR-Z,2012,1N6AA0ED0FN354882,CN,˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,24.26,$109.36
178,Hyundai,Elantra,2010,WA1CMAFE1AD346038,EG,"""'""'""''''""",1.08,$81.98
179,Toyota,Echo,2004,5UMCN93402L497243,ID, ,1.27,$70.21
180,Toyota,Camry,2011,JH4CL959X6C957130,FR,åß∂ƒ©˙∆˚¬…æ,12.83,$224.76
181,Ford,Transit Connect,2012,JTDKN3DU7A0815936,SE,１２３,12.3,$228.63
182,Toyota,Camry,2010,KNDJT2A22D7288558,ZM,👩🏽,10.27,$208.75
183,Kia,Sportage,2001,WA1LMAFE8CD111042,AZ,⁰⁴⁵,16.87,$225.18
184,Land Rover,Range Rover Sport,2010,2G4GS5EVXC9705520,JP,⁰⁴⁵₀₁₂,9.92,$189.16
185,Pontiac,Grand Prix,1974,3D4PG4FB0BT482682,PH,-1/2,22.44,$234.65
186,Toyota,Venza,2011,WAUFGBFC6EN078146,CN,`⁄€‹›ﬁﬂ‡°·‚—±,5.61,$230.17
187,Mercedes-Benz,SLR McLaren,2006,JM1GJ1T66F1505156,CY,Ω≈ç√∫˜µ≤≥÷,15.33,$111.76
188,Acura,NSX,1996,WVWAB7AJ8CW114697,AF,-$1.00,3.26,$186.75
189,Suzuki,Daewoo Lacetti,2008,5N1AT2ML9EC217799,CF,-$1.00,6.46,$89.62
190,Volvo,S80,2009,3D73Y3CL4AG625520,BR,0/0,5.27,$53.71
191,Chevrolet,Astro,1994,JN8AZ2KR8BT520888,CN,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,13.04,$224.75
192,Mercury,Sable,1986,JTDKDTB34D1305099,RU,田中さんにあげて下さい,7.47,$150.28
193,Dodge,Dakota,2009,5J8TB3H70GL743052,AR,(╯°□°）╯︵ ┻━┻)  ,6.43,$229.53
194,Lincoln,Mark VII,1992,JN8AZ1MU9AW948736,ID,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,0.62,$38.38
195,Volvo,XC90,2004,WDDHF2EB7DA120634,ID,0.00,6.13,$89.53
196,Nissan,Versa,2009,WBAEV53432K066436,JP,"""''''""'""",19.0,$202.46
197,Nissan,NV2500,2012,WAUDH48H29K187669,AR,(╯°□°）╯︵ ┻━┻)  ,9.79,$222.04
198,Chevrolet,Suburban 1500,2007,JHMGE8G23AC711809,AR,1E02,7.16,$61.76
199,GMC,Sierra 1500,2000,1D7CE2BKXAS431045,JP, test ,25.49,$215.21
200,Chevrolet,Express 1500,2006,WAUFGAFB4BN159062,MV,⁰⁴⁵,22.84,$130.32
201,Chrysler,PT Cruiser,2001,5NPDH4AE6DH455956,PL,0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,14.93,$195.59
202,Pontiac,Montana,2003,WAUEH74F38N679943,CN,<img src=x onerror=alert('hi') />,19.91,$246.62
203,Kia,Spectra5,2006,WAU4FBFL3CA715962,AR,Ω≈ç√∫˜µ≤≥÷,25.08,$121.92
204,Honda,CR-V,2002,5XYKT3A13CG296073,ID,1E2,14.24,$74.74
205,Pontiac,Grand Prix,1968,1C6RD7NT7CS896322,TZ,사회과학원 어학연구소,19.97,$89.08
206,Lamborghini,Diablo,2001,WBAXG5C54CC139143,RU,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,19.23,$161.68
207,Cadillac,DTS,2007,WAUKH94F16N989388,ID,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },5.45,$51.82
208,GMC,Yukon XL 2500,2000,1N4AA5AP5EC065285,BR,0.00,11.15,$60.00
209,Porsche,Cayman,2009,2HNYD18633H905848,PH,1,25.48,$49.17
210,Dodge,Durango,2000,5TDDCRFH5FS390397,RU,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",22.37,$74.87
211,Chrysler,PT Cruiser,2005,JHMZE2H58DS329669,CN,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,0.76,$85.50
212,Volkswagen,Tiguan,2012,SCBCP73W09C050087,NC,Ω≈ç√∫˜µ≤≥÷,5.2,$129.67
213,Kia,Soul,2012,2G4WS55JX31113476,CN,null,23.27,$172.68
214,Lincoln,MKT,2011,SCFFBCCD0AG465490,CN,١٢٣,22.14,$151.85
215,Mitsubishi,Montero,2000,2FMPK3K92FB603540,ID,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,20.19,$142.07
216,Toyota,Camry,2006,JN8AF5MR3DT732687,CN,<img src=x onerror=alert('hi') />,10.25,$150.52
217,Nissan,350Z,2006,WBAUP7C50AV625979,CN,0/0,9.46,$249.54
218,GMC,Sierra 1500,2007,SALAC2D4XCA600150,NO,⁰⁴⁵₀₁₂,19.68,$91.32
219,Buick,Century,2000,WAUCFAFC9DN621584,MX,!@#$%^&*(),8.83,$203.84
220,Lincoln,MKT,2013,19XFB2E21CE712426,CN,ÅÍÎÏ˝ÓÔÒÚÆ☃,20.81,$97.79
221,Dodge,Ram Van 2500,1996,5TFCM5F15AX314816,ID,١٢٣,19.81,$167.64
222,Chevrolet,Monte Carlo,2006,KNAFK4A60F5642645,CN,1.00,0.41,$102.74
223,Kia,Rio5,2008,JH4KA96661C792899,PA,"<>?:""{}|_+",17.18,$224.44
224,Kia,Rio,2010,WBANE53507B640412,VE,-1E+02,10.61,$236.52
225,Chevrolet,Astro,1992,SCBGR3ZA8CC215777,CN,0.00,8.36,$243.52
226,Lamborghini,Countach,1985,19UUA65506A553578,CL,␣,19.02,$119.74
227,Saab,9-5,2008,JA32U2FU3EU837178,ID,<script>alert('hi')</script>,24.89,$37.62
228,Mercury,Monterey,2005,WBA3C3C55FK422563,GN,-1E02,9.41,$240.67
229,Land Rover,Range Rover Sport,2007,1G6DD8E35E0174499,CN,<script>alert('hi')</script>,14.65,$183.59
230,Toyota,4Runner,2001,WBA3C3G51EN185139,LY,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,0.73,$158.29
231,Nissan,Rogue,2011,1GYUKBEF0AR072831,TZ,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,19.17,$88.54
232,Dodge,Challenger,2010,WBAFU7C52BD846685,SE,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,12.02,$246.12
233,Maserati,Quattroporte,2005,1J4RR4GGXBC979187,TH,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,0.47,$114.65
234,Maybach,57,2009,JN8AZ1FY1CW336131,PT,᠎,0.26,$85.76
235,Toyota,Solara,2004,JN1CV6EL5FM183677,CN,␢,6.09,$99.75
236,Mitsubishi,Starion,1987,WBA3V9C50EP087548,ID,1/0,5.49,$112.79
237,Scion,tC,2005,WDDPK4HA6CF533054,ID, test ,8.05,$227.75
238,Volvo,C70,2009,WBSCL93431L013390,CN,​,17.16,$158.64
239,Plymouth,Sundance,1992,JH4CL96855C522598,JP,😍,24.74,$114.49
240,Bentley,Continental GT,2006,1FBAX2CM7FK012218,EG,₀₁₂,19.33,$98.68
241,Buick,Regal,2004,1D7CW3BK3AS107390,BR,-1,17.76,$237.83
242,Pontiac,Montana,2001,1N6AF0KY1EN612527,NG,(╯°□°）╯︵ ┻━┻)  ,17.18,$123.95
243,Chevrolet,Cavalier,2000,JH4CU2E87DC541464,BR,-1.00,11.5,$138.11
244,Cadillac,Escalade ESV,2009,WBSBR93491E438627,SC,👩🏽,16.59,$163.84
245,Cadillac,Eldorado,1998,JHMGE8G35CS203634,HN,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",25.79,$164.91
246,Land Rover,Freelander,2010,3VW4A7AT3DM149910,PE,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },25.82,$121.96
247,Acura,SLX,1998,1FMJK1F52AE454657,MC,(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,9.95,$245.52
248,Chrysler,300C,2005,5YMGY0C5XD0750727,PH,😍,8.3,$198.03
249,Honda,Prelude,1995,SCBLF44J88C647345,NP,👩🏽,14.23,$238.80
250,Toyota,4Runner,2009,WBXPA93446W850978,FR,␡,11.5,$170.42
251,Ford,Explorer,2010,5N1AN0NU3CN997516,IQ,(｡◕ ∀ ◕｡),10.38,$198.62
252,Toyota,Supra,1996,KMHHT6KD9BU686284,CA,<svg><script>0<1>alert('XSS')</script>,17.79,$125.07
253,Ferrari,458 Italia,2012,3C6JD6CTXCG656165,CO,和製漢語,11.65,$124.98
254,Oldsmobile,Silhouette,2001,WAUSFAFL6BA891341,PH,1/0,23.99,$89.86
255,Infiniti,FX,2008,SCFFDABM9EG332670,FR,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,6.93,$78.87
256,Nissan,Maxima,1993,WAUSF78E76A713445,RU,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,19.83,$240.66
257,Toyota,Sienna,2004,2T1BPRHE9FC589265,NO,社會科學院語學研究所,6.42,$153.10
258,Pontiac,Grand Prix,1973,WAUSG74F49N134809,PH,₀₁₂,2.26,$211.35
259,BMW,545,2004,3C63DRNL1CG663707,MY,() { 0; }; touch /tmp/blns.shellshock1.fail;,24.14,$212.58
260,Volkswagen,Routan,2009,5N1BA0NC8FN279973,MX,(｡◕ ∀ ◕｡),2.86,$56.50
261,Mazda,323,1994,5LMJJ3J58DE577681,CN,(｡◕ ∀ ◕｡),21.6,$32.79
262,Saturn,Ion,2005,2C3CDYAGXCH013936,CN,​,1.65,$227.93
263,Mercedes-Benz,G-Class,2011,3D7JB1EK6AG077926,SI,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",1.75,$24.19
264,Nissan,Versa,2009,KNDJT2A58C7426824,CN,١٢٣,24.51,$182.76
265,Toyota,Tacoma Xtra,1997,5XYKT3A10DG179620,YE,!@#$%^&*(),3.24,$101.95
266,Jaguar,XK,2008,5UXKR2C56F0192808,PT,Ω≈ç√∫˜µ≤≥÷,15.26,$228.07
267,Ford,Mustang,1972,5NPEB4AC9BH563070,PH,パーティーへ行かないか,1.32,$196.43
268,Mitsubishi,3000GT,1992,JTHKD5BH7C2934645,RU,',5.33,$236.33
269,Pontiac,Turbo Firefly,1988,WBAWL73537P604237,SE, ,2.44,$105.92
270,Volkswagen,Jetta III,1994,1G6DK8EV5A0485979,BR,1E02,8.85,$73.09
271,Chevrolet,Sportvan G30,1995,WBAWV135X7P619812,SE,'',3.9,$159.06
272,GMC,Savana 1500,2006,WAUPFAFM8BA156228,RU,",./;'[]\-=",0.68,$178.37
273,Toyota,Prius,2006,3D7TT2CT8AG859507,CN,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",6.19,$201.04
274,BMW,5 Series,1994,JTEBU5JR2E5179316,CN,$1.00,25.68,$183.31
275,Ford,Focus,2001,WAU4GBFB4BN171760,ID,",./;'[]\-=",13.78,$220.15
276,Audi,A6,2003,KNADH4A34A6047649,PT,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,3.77,$102.09
277,Audi,TT,2006,3D73M4CL3AG572052,BY,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,11.71,$85.18
278,Hyundai,Elantra,2005,WAUGL78E97A790186,CN,1E+02,18.71,$140.99
279,Chevrolet,Silverado 1500,2001,KNADH4A32B6822953,PS,⁦test⁧,7.14,$127.74
280,Porsche,911,2009,WAUGN94F07N453936,CN,1'; DROP TABLE users--,22.56,$146.81
281,Acura,CL,1997,WA1MYBFE1AD950462,JP,和製漢語,8.92,$98.00
282,Infiniti,M,2012,SCFBB03B17G478446,AL,00˙Ɩ$-,7.19,$206.95
283,Honda,CR-V,1998,WAUAFAFL3AA019970,RU,null,18.11,$219.03
284,Chevrolet,Corsica,1992,SCBFU7ZA7FC776946,AL,$1.00,7.64,$93.88
285,Buick,LeSabre,2000,WBAEH73494B777418,PT, test ,15.87,$228.87
286,Audi,S6,2010,1FTSW2B55AE711058,GT,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,18.3,$162.71
287,Dodge,Avenger,1995,JM3TB2BA3C0094685,ID,nil,14.46,$72.71
288,Toyota,Highlander,2007,1FBNE3BL2DD372990,PK,<script>alert('hi')</script>,12.6,$187.31
289,Toyota,Sienna,2009,1GYS3AEF0BR484960,GR,(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,14.83,$101.44
290,Ford,Freestyle,2007,SCBLE37G85C788988,TH,<img src=x onerror=alert('hi') />,18.88,$53.09
291,Honda,Passport,1998,WAUMFAFL6DA997297,ID,-1E+02,21.99,$171.59
292,Subaru,Impreza,2003,WBAFR1C52BC962912,GB,-1E02,12.93,$246.05
293,Land Rover,Range Rover,1997,4T1BF1FK3DU277371,CN,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",14.06,$65.13
294,Chevrolet,Sportvan G30,1995,WA1VMBFE6ED793811,YE,../../../../../../../../../../../etc/passwd%00,12.67,$61.26
295,Suzuki,Swift,1988,5GAEV13D39J249428,CN,åß∂ƒ©˙∆˚¬…æ,23.28,$137.16
296,Toyota,MR2,1987,WBAVA33557P460684,MA,(╯°□°）╯︵ ┻━┻)  ,17.88,$178.38
297,Mazda,Miata MX-5,2008,JH4DB75511S584194,CN,¡™£¢∞§¶•ªº–≠,0.95,$127.47
298,Toyota,MR2,2003,19XFB4F21DE847210,PE,1;DROP TABLE users,3.87,$246.21
299,Land Rover,Defender,1993,2G61V5S88F9918828,IR,1E+02,9.26,$35.92
300,Lexus,RX,2011,5N1AN0NU9FN858883,AF,"__ﾛ(,_,*)",15.48,$115.40
301,Acura,RL,1996,WAU4FAFL6AA744024,CN,00˙Ɩ$-,19.85,$134.87
302,Mazda,MX-6,1997,WBAGN63424D128401,ID,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",20.01,$93.41
303,Dodge,Aspen,1976,WBANU53599C406785,ID,ÅÍÎÏ˝ÓÔÒÚÆ☃,2.62,$218.93
304,Acura,NSX,1999,WBAKG7C51BE256753,DO,1/2,7.1,$201.60
305,Geo,Tracker,1997,1G6KF57965U079119,JP,1E02,7.92,$130.52
306,Ford,F250,1997,3C63D3JL9CG627797,ID,¸˛Ç◊ı˜Â¯˘¿,18.12,$47.88
307,Shelby,GT350,1969,5UXFE43579L952448,PH,../../../../../../../../../../../etc/hosts,8.66,$51.95
308,Pontiac,Bonneville,1965,WBS3R9C54FF339034,JM,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,25.29,$92.46
309,Porsche,Panamera,2011,JM1NC2JF7D0978223,SL,👩🏽,1.82,$43.63
310,Chevrolet,S10,2003,3D7TP2CT5BG370455,CF,../../../../../../../../../../../etc/hosts,7.62,$50.06
311,Buick,LeSabre,1991,WAUMR44E17N527818,VN,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,16.72,$73.79
312,BMW,X5,2009,SCBDR3ZA7AC576398,PT,사회과학원 어학연구소,7.26,$24.83
313,Mazda,B2500,2001,1GYFK46878R426892,JP,"""""",16.49,$167.18
314,Lexus,ES,2005,WBA1F9C52FV825609,AR,部落格,3.14,$101.45
315,Mercury,Grand Marquis,1985,WDDEJ7KB3AA516235,CN,() { 0; }; touch /tmp/blns.shellshock1.fail;,14.28,$29.33
316,Audi,90,1990,WAUSGAFC2CN309212,ID,　,11.71,$128.11
317,Foose,Hemisfear,2007,WBS3C9C51FJ421091,CN,¸˛Ç◊ı˜Â¯˘¿,16.36,$94.05
318,Ford,Mustang,2000,JN1CV6FE9EM151832,ZA,‪‪test‪,5.51,$120.96
319,Ford,Excursion,2001,5FRYD4H43FB014747,EG,,0.74,$45.75
320,Acura,NSX,1993,YV1672MC3BJ770187,GR,1E02,10.06,$190.40
321,Dodge,Intrepid,2000,SALVN2BG1DH736796,NI,田中さんにあげて下さい,16.79,$189.47
322,Chevrolet,Tahoe,1999,1D7CE2GK1AS170316,SE,␡,10.11,$95.09
323,Plymouth,Voyager,1997,1G6DG8EYXB0379654,MT,1/0,22.19,$195.72
324,Panoz,Esperante,2005,JN1BV7AP5FM333734,ID,Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,9.45,$138.51
325,Plymouth,Voyager,1993,19UUB3F74FA335087,ID,Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,18.7,$121.26
326,Ford,Econoline E150,1996,1G4GA5ER2DF534177,FR,1.00,4.48,$193.32
327,Dodge,Ram 1500 Club,1998,WAUVC68EX2A574549,PT,åß∂ƒ©˙∆˚¬…æ,19.4,$83.30
328,Lincoln,Continental,1986,WAUGL98E98A410017,FR,部落格,17.03,$25.99
329,Mercedes-Benz,SLK-Class,1998,JTHBL1EF8D5856172,CN,/dev/null; touch /tmp/blns.fail ; echo,11.36,$212.53
330,Mazda,Mazda6,2012,3D73M3CLXAG115541,VN,¡™£¢∞§¶•ªº–≠,21.97,$219.31
331,Toyota,Corolla,2012,1G4GC5GR1DF826149,PA,0/0,22.15,$178.07
